person,year,location,source_biography_page
Lothar Machtan,1968,Gelsenkirchen,Lothar Machtan
Ruth Leiserowitz,1958,Prenzlau,Ruth Leiserowitz
Franz Dibelius,1847,Prenzlau,Franz Dibelius
Ernst Weyden,1805,the University of Cologne,Ernst Weyden
Ernst Alfred Philippson,1928,the University of Cologne,Ernst Alfred Philippson
Leonhard Harding,2008,the University of Cologne,Leonhard Harding
Erich Angermann,1992,the University of Cologne,Erich Angermann
Peter Funke,1975,the University of Cologne,Peter Funke
Johannes Kunisch,1976,the University of Cologne,Johannes Kunisch
Kurt Kluxen,1947,the University of Cologne,Kurt Kluxen
Kurt Kluxen,1954,the University of Cologne,Kurt Kluxen
Ewald Grothe,2007,the University of Cologne,Ewald Grothe
Norbert Finzsch,1981,the University of Cologne,Norbert Finzsch
Norbert Finzsch,2001,the University of Cologne,Norbert Finzsch
Norbert Finzsch,2005,the University of Cologne,Norbert Finzsch
Hans-Ulrich Wehler,1960,the University of Cologne,Hans-Ulrich Wehler
Wolfgang Mommsen,1978,the University of Cologne,Wolfgang Mommsen
Peter Berglar,1919,the University of Cologne,Peter Berglar
Peter Berglar,1970,the University of Cologne,Peter Berglar
Stefan Berger,1985,the University of Cologne,Stefan Berger
Anneliese Maier,1951,the University of Cologne,Anneliese Maier
Eberhard Kolb,1979,the University of Cologne,Eberhard Kolb
Heinz Schilling,1971,the University of Cologne,Heinz Schilling
Eberhard Wächtler,1929,Dresden,Eberhard Wächtler
Johann Ludwig Choulant,1791,Dresden,Johann Ludwig Choulant
Johann Ludwig Choulant,1817,Dresden,Johann Ludwig Choulant
Franz Dibelius,1910,Dresden,Franz Dibelius
Mike Schmeitzner,1968,Dresden,Mike Schmeitzner
Mike Schmeitzner,1987,Dresden,Mike Schmeitzner
Walther Judeich,1859,Dresden,Walther Judeich
Giuseppe Zecchini,2001,Dresden,Giuseppe Zecchini
Friedrich Hermann Schubert,1925,Dresden,Friedrich Hermann Schubert
Peter Hoffmann (historian),1930,Dresden,Peter Hoffmann (historian)
Rudolf Kötzschke,1894,Dresden,Rudolf Kötzschke
Hermann Pundt,1990,Dresden,Hermann Pundt
Ernst Förstemann,1822,Dresden,Ernst Förstemann
Ernst Förstemann,1865,Dresden,Ernst Förstemann
Ernst Förstemann,1887,Dresden,Ernst Förstemann
Friedrich Christoph Dahlmann,1809,Dresden,Friedrich Christoph Dahlmann
Bernhard Hirschel,1815,Dresden,Bernhard Hirschel
Bernhard Hirschel,1823,Dresden,Bernhard Hirschel
Bernhard Hirschel,1825,Dresden,Bernhard Hirschel
Arnulf Baring,1932,Dresden,Arnulf Baring
Gustav Wustmann,1844,Dresden,Gustav Wustmann
Kurt Rudolph,1948,Dresden,Kurt Rudolph
Alf Lüdtke,1943,Dresden,Alf Lüdtke
Emil Marschalk von Ostheim,1841,Bamberg,Emil Marschalk von Ostheim
Klaus Zimmermann,1983,Bamberg,Klaus Zimmermann
Bee Scherer,2003,Canterbury Christ Church University,Bee Scherer
Günther Franz,1915,France,Günther Franz
Emília Viotti da Costa,1953,France,Emília Viotti da Costa
Cecil Roth,1918,France,Cecil Roth
Piotr Domaradzki,1984,France,Piotr Domaradzki
Friedrich Wilken,1838,France,Friedrich Wilken
Élie Barnavi,1946,France,Élie Barnavi
David Brion Davis,1945,France,David Brion Davis
Henri Terrasse,1895,France,Henri Terrasse
Robert Paxton,1997,France,Robert Paxton
Henri Leclercq,1889,France,Henri Leclercq
Esther Benbassa,1974,France,Esther Benbassa
Elias Tcherikower,1940,France,Elias Tcherikower
Emil Reich,1889,France,Emil Reich
Emil Reich,1893,France,Emil Reich
Wilmer Cave Wright,1868,France,Wilmer Cave Wright
Nino Salia,1898,France,Nino Salia
Lucien Febvre,1919,France,Lucien Febvre
Lucien Febvre,1956,France,Lucien Febvre
Charles Carrington (historian),1915,France,Charles Carrington (historian)
François Chevalier,1962,France,François Chevalier
Peter Elstob,1939,France,Peter Elstob
Edwin Brockholst Livingston,1929,France,Edwin Brockholst Livingston
Eugenia Washington,1755,France,Eugenia Washington
Gregory Hanlon,1989,France,Gregory Hanlon
Paul Reclus (anarchist),1914,France,Paul Reclus (anarchist)
Jean Tulard,1795,France,Jean Tulard
Władysław Konopczyński,1919,France,Władysław Konopczyński
Johann Philipp Palthen,1697,France,Johann Philipp Palthen
Johann Wilhelm von Archenholz,1791,France,Johann Wilhelm von Archenholz
Casimir Freschot,1718,France,Casimir Freschot
John Meyendorff,1949,France,John Meyendorff
Erik Gunnes,1965,France,Erik Gunnes
Nicolas Fiévé,1986,France,Nicolas Fiévé
Mark Wischnitzer,1938,France,Mark Wischnitzer
Philip Mansel,1951,France,Philip Mansel
Philip Mansel,2012,France,Philip Mansel
Zeev Sternhell,1946,France,Zeev Sternhell
Fernand Braudel,1943,France,Fernand Braudel
Harry Cranbrook Allen,1945,France,Harry Cranbrook Allen
Jules Rossignon,1883,France,Jules Rossignon
Ralph Niger,1160,France,Ralph Niger
Eugene M. Kulischer,1941,France,Eugene M. Kulischer
Claudio Sánchez-Albornoz,1940,France,Claudio Sánchez-Albornoz
Claudio Sánchez-Albornoz,1942,France,Claudio Sánchez-Albornoz
José Antonio Conde,1813,France,José Antonio Conde
Vitorino Magalhães Godinho,1962,France,Vitorino Magalhães Godinho
Albert Schreiner,1933,France,Albert Schreiner
Hélène Carrère d'Encausse,2005,France,Hélène Carrère d'Encausse
John Warwick Montgomery,1931,France,John Warwick Montgomery
Sebastian Voigt,2013,France,Sebastian Voigt
Adam Rayski,1938,France,Adam Rayski
Adam Rayski,1939,France,Adam Rayski
Adam Rayski,1942,France,Adam Rayski
Adam Rayski,1992,France,Adam Rayski
Ahmed Jdey,1987,France,Ahmed Jdey
Alan Marshall (historian),1981,France,Alan Marshall (historian)
Bertrand Auerbach,1893,France,Bertrand Auerbach
Boris Mouravieff,1924,France,Boris Mouravieff
David Williams (philosopher),1802,France,David Williams (philosopher)
Warren Lewis,1914,France,Warren Lewis
Georgette Elgey,1981,France,Georgette Elgey
Gerald Brenan,1931,France,Gerald Brenan
Gervais de La Rue,1798,France,Gervais de La Rue
Giovan Battista Nani,1670,France,Giovan Battista Nani
Nicolae Iorga,1926,France,Nicolae Iorga
Jacques Longueval,1680,France,Jacques Longueval
Jean Gagé,1945,France,Jean Gagé
Jean Suret-Canale,1940,France,Jean Suret-Canale
François Furet,1977,France,François Furet
Crane Brinton,1968,France,Crane Brinton
Oskar Halecki,1940,France,Oskar Halecki
Jules Isaac,1877,France,Jules Isaac
Michel Labrousse,1945,France,Michel Labrousse
Pap Ndiaye,2017,France,Pap Ndiaye
Roland Mousnier,1907,France,Roland Mousnier
Joseph Delaville Le Roulx,1878,France,Joseph Delaville Le Roulx
Eugen Weber,1950,France,Eugen Weber
Sophie Bessis,1975,France,Sophie Bessis
Aurelio Chessa,1945,France,Aurelio Chessa
George Makdisi,1964,France,George Makdisi
Giovanni Colonna (historian),1315,France,Giovanni Colonna (historian)
Hichem Djait,1962,France,Hichem Djait
Josep Lluís Alay,2021,France,Josep Lluís Alay
Ivan Chopin,1798,France,Ivan Chopin
Pierre Cabanes,1930,France,Pierre Cabanes
Antoine-Simon Le Page du Pratz,1718,France,Antoine-Simon Le Page du Pratz
Arundhati Virmani,1991,France,Arundhati Virmani
Henri Spondanus,1589,France,Henri Spondanus
C. R. M. F. Cruttwell,1915,France,C. R. M. F. Cruttwell
Charles Bean,1918,France,Charles Bean
Nicolae Bălcescu,1848,France,Nicolae Bălcescu
Pablo Macera,1960,France,Pablo Macera
J. F. C. Fuller,1916,France,J. F. C. Fuller
Gabriel Jacques Surenne,1844,France,Gabriel Jacques Surenne
Gerald S. Graham,1944,France,Gerald S. Graham
Andrew Diamond (professor),2002,France,Andrew Diamond (professor)
H. Bruce Franklin,1967,France,H. Bruce Franklin
John James (Australian architect),1969,France,John James (Australian architect)
Ioan Petru Culianu,1976,France,Ioan Petru Culianu
Robert Orme,1773,France,Robert Orme
James Augustus Cotter Morison,1840,France,James Augustus Cotter Morison
Larry Portis,1977,France,Larry Portis
Larry Portis,1981,France,Larry Portis
Lon Tinkle,1963,France,Lon Tinkle
Dumas Malone,1931,France,Dumas Malone
Arsène Tchakarian,1930,France,Arsène Tchakarian
Peter Elmsley,1818,France,Peter Elmsley
Peter Vodopivec,1978,France,Peter Vodopivec
Prabodh Chandra Bagchi,1923,France,Prabodh Chandra Bagchi
Rafał Taubenschlag,1940,France,Rafał Taubenschlag
Gaetano Salvemini,1925,France,Gaetano Salvemini
Samuel Roffey Maitland,1828,France,Samuel Roffey Maitland
Dušan Třeštík,1959,France,Dušan Třeštík
Thomas Tlou,2006,France,Thomas Tlou
William Dugdale,1648,France,William Dugdale
Bill Airey,1917,France,Bill Airey
John Scheid,1966,France,John Scheid
Burghart Schmidt (historian),1982,France,Burghart Schmidt (historian)
Ernst Stein,1942,France,Ernst Stein
Mark Welser,1572,France,Mark Welser
Bernard Connor,1691,France,Bernard Connor
Mirko Grmek,1942,France,Mirko Grmek
Jacob Talmon,1943,France,Jacob Talmon
Robert Darnton,1939,France,Robert Darnton
Günther Franz,1923,Munich,Günther Franz
Friedrich von Weech,1860,Munich,Friedrich von Weech
Juliane Wetzel,1957,Munich,Juliane Wetzel
Karin Friedrich,1963,Munich,Karin Friedrich
Christian Hartmann,1998,Munich,Christian Hartmann
Christian Hartmann,2004,Munich,Christian Hartmann
Albrecht Goetze,1915,Munich,Albrecht Goetze
George Phillips (canon lawyer),1847,Munich,George Phillips (canon lawyer)
David L. Hoggan,1949,Munich,David L. Hoggan
Frank-Rutger Hausmann,1999,Munich,Frank-Rutger Hausmann
Franz Schnabel,1947,Munich,Franz Schnabel
Franz Töpsl,1711,Munich,Franz Töpsl
Franz Töpsl,1796,Munich,Franz Töpsl
Friedrich Lütge,1946,Munich,Friedrich Lütge
Friedrich Lütge,1346,Munich,Friedrich Lütge
Friedrich Lütge,1955,Munich,Friedrich Lütge
Friedrich Wilhelm Ghillany,1855,Munich,Friedrich Wilhelm Ghillany
Georg Stadtmüller,1963,Munich,Georg Stadtmüller
Werner Huß,1967,Munich,Werner Huß
Joseph S. Freedman,2004,Munich,Joseph S. Freedman
Joseph S. Freedman,2014,Munich,Joseph S. Freedman
Wolfgang Behringer,1956,Munich,Wolfgang Behringer
Helmut Krausnick,1951,Munich,Helmut Krausnick
Peter Lieb,2009,Munich,Peter Lieb
Srećko Matko Džaja,2000,Munich,Srećko Matko Džaja
Rudolf Pesch,1984,Munich,Rudolf Pesch
Johannes Kunisch,1963,Munich,Johannes Kunisch
Johannes Paulmann,2000,Munich,Johannes Paulmann
Johannes Willms,2022,Munich,Johannes Willms
John C. G. Röhl,1970,Munich,John C. G. Röhl
Karl Süssheim,1911,Munich,Karl Süssheim
Norbert Frei,1973,Munich,Norbert Frei
Norbert Frei,1979,Munich,Norbert Frei
Klaus Zimmermann,1994,Munich,Klaus Zimmermann
Friedrich Hermann Schubert,1962,Munich,Friedrich Hermann Schubert
Magnus Brechtken,2012,Munich,Magnus Brechtken
Max Kaser,1929,Munich,Max Kaser
Max Neuburger,1859,Munich,Max Neuburger
Vasil Kanchov,1888,Munich,Vasil Kanchov
Abdurakhman Avtorkhanov,1997,Munich,Abdurakhman Avtorkhanov
Oleksander Ohloblyn,1946,Munich,Oleksander Ohloblyn
Otto Mayr,1930,Munich,Otto Mayr
Otto Mayr,1965,Munich,Otto Mayr
Otto Mayr,1992,Munich,Otto Mayr
Philipp Ther,1988,Munich,Philipp Ther
Michael Goebel,2006,Munich,Michael Goebel
Erik Peterson (theologian),1930,Munich,Erik Peterson (theologian)
Pius Bonifacius Gams,1856,Munich,Pius Bonifacius Gams
Benedikt Isserlin,1916,Munich,Benedikt Isserlin
Elie Rekhess,1972,Munich,Elie Rekhess
Christian Meier (historian),1997,Munich,Christian Meier (historian)
Oswald Spengler,1901,Munich,Oswald Spengler
Oswald Spengler,1911,Munich,Oswald Spengler
Oswald Spengler,1936,Munich,Oswald Spengler
Anton Joachimsthaler,1956,Munich,Anton Joachimsthaler
Max Koch (academic),1855,Munich,Max Koch (academic)
Karl August Wittfogel,1919,Munich,Karl August Wittfogel
Vladimir Ćorović,1908,Munich,Vladimir Ćorović
Ulrich Wilcken,1915,Munich,Ulrich Wilcken
Kuno Francke,1878,Munich,Kuno Francke
Heinrich von Sybel,1856,Munich,Heinrich von Sybel
Eugen Kogon,1927,Munich,Eugen Kogon
Jakob Philipp Fallmerayer,1831,Munich,Jakob Philipp Fallmerayer
Jakob Philipp Fallmerayer,1842,Munich,Jakob Philipp Fallmerayer
Jakob Philipp Fallmerayer,1847,Munich,Jakob Philipp Fallmerayer
Jakob Philipp Fallmerayer,1850,Munich,Jakob Philipp Fallmerayer
Jakob Philipp Fallmerayer,1861,Munich,Jakob Philipp Fallmerayer
Ernst Schweninger,1905,Munich,Ernst Schweninger
Friedrich Julius Stahl,1827,Munich,Friedrich Julius Stahl
Friedrich Julius Stahl,1829,Munich,Friedrich Julius Stahl
Albert Hauck,1871,Munich,Albert Hauck
Karl von Amira,1872,Munich,Karl von Amira
Kaspar Ernst August Heisenberg,1894,Munich,Kaspar Ernst August Heisenberg
Kaspar Ernst August Heisenberg,1901,Munich,Kaspar Ernst August Heisenberg
Kaspar Ernst August Heisenberg,1910,Munich,Kaspar Ernst August Heisenberg
Michael Hans Kater,1966,Munich,Michael Hans Kater
Wolfgang Benz,1969,Munich,Wolfgang Benz
Golo Mann,1918,Munich,Golo Mann
Golo Mann,1927,Munich,Golo Mann
Golo Mann,1933,Munich,Golo Mann
Konrad Maurer,1902,Munich,Konrad Maurer
Konrad Maurer,2016,Munich,Konrad Maurer
Jakob Bleyer,1903,Munich,Jakob Bleyer
Beatrix Mesmer,1931,Munich,Beatrix Mesmer
Johann Nepomuk Sepp,1850,Munich,Johann Nepomuk Sepp
Johann Nepomuk Sepp,1830,Munich,Johann Nepomuk Sepp
Johann Nepomuk Sepp,1847,Munich,Johann Nepomuk Sepp
Gregor Thum,1967,Munich,Gregor Thum
Robert von Pöhlmann,1870,Munich,Robert von Pöhlmann
Heinz Gollwitzer,1982,Munich,Heinz Gollwitzer
Ignaz Agricola,1719,Munich,Ignaz Agricola
Lorenz von Westenrieder,1774,Munich,Lorenz von Westenrieder
Hermann Aubin,1905,Munich,Hermann Aubin
Moriz Carrière,1895,Munich,Moriz Carrière
Fiske Kimball,1955,Munich,Fiske Kimball
Karel Kaplan,1972,Munich,Karel Kaplan
Richard Fester,1893,Munich,Richard Fester
Richard Fester,1925,Munich,Richard Fester
Karl Theodor von Heigel,1842,Munich,Karl Theodor von Heigel
Marcus Junkelmann,1949,Munich,Marcus Junkelmann
Günther Franz,1949,Marburg,Günther Franz
Ludwig Dehio,1945,Marburg,Ludwig Dehio
Walter Friedensburg,1880,Marburg,Walter Friedensburg
Jaroslav Miller,2006,Marburg,Jaroslav Miller
Gerhard Müller (Lutheran theologian),1929,Marburg,Gerhard Müller (Lutheran theologian)
Hans von Campenhausen,1922,Marburg,Hans von Campenhausen
Friedrich Uhlhorn,1923,Marburg,Friedrich Uhlhorn
Friedrich Uhlhorn,1978,Marburg,Friedrich Uhlhorn
Herbert Schwarzwälder,1953,Marburg,Herbert Schwarzwälder
Karl Helm,1936,Marburg,Karl Helm
Karl Helm,1960,Marburg,Karl Helm
Heinrich von Sybel,1846,Marburg,Heinrich von Sybel
Alexander Demandt,1937,Marburg,Alexander Demandt
Heinrich Heppe,1864,Marburg,Heinrich Heppe
Gerard Geldenhouwer,1542,Marburg,Gerard Geldenhouwer
Carl von Noorden,1870,Marburg,Carl von Noorden
Günther Franz,1949,North Rhine-Westphalia,Günther Franz
Peter Landau,1964,University of Regensburg,Peter Landau
Peter Landau,1988,Zurich,Peter Landau
Julius Epstein (writer),1938,Zurich,Julius Epstein (writer)
Andreas Kappeler,1962,Zurich,Andreas Kappeler
Elisabeth Raiser,1940,Zurich,Elisabeth Raiser
Heidi Witzig,1944,Zurich,Heidi Witzig
Heidi Witzig,1978,Zurich,Heidi Witzig
Thomas Maissen,1962,Zurich,Thomas Maissen
Conrad Brunner (physician),1889,Zurich,Conrad Brunner (physician)
Stefania Wolicka,1872,Zurich,Stefania Wolicka
Golo Mann,1940,Zurich,Golo Mann
Friedrich von Weech,1856,Heidelberg,Friedrich von Weech
Eugen Täubler,1933,Heidelberg,Eugen Täubler
Eduard Böcking,1826,Heidelberg,Eduard Böcking
Richard Benz,1884,Heidelberg,Richard Benz
Richard Benz,1902,Heidelberg,Richard Benz
Hermann Güntert,1909,Heidelberg,Hermann Güntert
Hermann Güntert,1945,Heidelberg,Hermann Güntert
Franz Maria Feldhaus,1909,Heidelberg,Franz Maria Feldhaus
Franz Schnabel,1945,Heidelberg,Franz Schnabel
Hans von Campenhausen,1922,Heidelberg,Hans von Campenhausen
Hans von Campenhausen,1946,Heidelberg,Hans von Campenhausen
Olaf Blaschke,2012,Heidelberg,Olaf Blaschke
Irene Dingel,1993,Heidelberg,Irene Dingel
Johannes Willms,1975,Heidelberg,Johannes Willms
Karl Bittel,1911,Heidelberg,Karl Bittel
Karl Helm,1895,Heidelberg,Karl Helm
Max Kaser,1937,Heidelberg,Max Kaser
Friedrich Karl Biedermann,1830,Heidelberg,Friedrich Karl Biedermann
Ding Dyason,1989,Heidelberg,Ding Dyason
Joseph Görres,1807,Heidelberg,Joseph Görres
Wilhelm Oncken,1862,Heidelberg,Wilhelm Oncken
Wilhelm Oncken,1866,Heidelberg,Wilhelm Oncken
Howard A. White,1963,Heidelberg,Howard A. White
James Corum,1975,Heidelberg,James Corum
Klaus Koschorke,1991,Heidelberg,Klaus Koschorke
Melchior Adam,1601,Heidelberg,Melchior Adam
Ferdinand Hitzig,1829,Heidelberg,Ferdinand Hitzig
Adolph Hausrath,1909,Heidelberg,Adolph Hausrath
Werner Conze,1910,Heidelberg,Werner Conze
Golo Mann,1933,Heidelberg,Golo Mann
Georg Ludwig von Maurer,1824,Heidelberg,Georg Ludwig von Maurer
Alexander Brückner,1521,Heidelberg,Alexander Brückner
Ursula Hoff,2005,Heidelberg,Ursula Hoff
Herbert Rosenkranz,1980,Heidelberg,Herbert Rosenkranz
Georg Weber (historian),1808,Heidelberg,Georg Weber (historian)
Ludwig Häusser,1846,Heidelberg,Ludwig Häusser
Georg Schreiber,1951,Heidelberg,Georg Schreiber
Hans Rothfels,1918,Heidelberg,Hans Rothfels
Ferdinand Walter,1817,Heidelberg,Ferdinand Walter
Dietmar Rothermund,1933,Heidelberg,Dietmar Rothermund
Dietmar Rothermund,1963,Heidelberg,Dietmar Rothermund
Dietmar Rothermund,2001,Heidelberg,Dietmar Rothermund
Friedrich von Weech,1862,Freiburg,Friedrich von Weech
Friedrich von Weech,1863,Freiburg,Friedrich von Weech
Hans Rosenberg,1988,Freiburg,Hans Rosenberg
Ernst Walter Zeeden,1948,Freiburg,Ernst Walter Zeeden
Ernst Walter Zeeden,1954,Freiburg,Ernst Walter Zeeden
Frank-Rutger Hausmann,1974,Freiburg,Frank-Rutger Hausmann
Gerd R. Ueberschär,1996,Freiburg,Gerd R. Ueberschär
Hans Mottek,1929,Freiburg,Hans Mottek
Hans Thieme,1953,Freiburg,Hans Thieme
Hans Thieme,1974,Freiburg,Hans Thieme
Heinrich Hansjakob,1913,Freiburg,Heinrich Hansjakob
Heinrich Schreiber,1793,Freiburg,Heinrich Schreiber
Paul Diepgen,1905,Freiburg,Paul Diepgen
Paul Diepgen,1915,Freiburg,Paul Diepgen
James Harvey Robinson,1890,Freiburg,James Harvey Robinson
Rudolf Pesch,1848,Freiburg,Rudolf Pesch
Horst Boog,2016,Freiburg,Horst Boog
Rudolf Braun (historian),1950,Freiburg,Rudolf Braun (historian)
Wolfgang Weber (historian),1970,Freiburg,Wolfgang Weber (historian)
Victor Farías,1961,Freiburg,Victor Farías
Christian Meier (historian),1966,Freiburg,Christian Meier (historian)
Helmut Walser Smith,1962,Freiburg,Helmut Walser Smith
Joseph Hergenröther,1870,Freiburg,Joseph Hergenröther
Joseph Hergenröther,1887,Freiburg,Joseph Hergenröther
Andreas Hillgruber,1871,Freiburg,Andreas Hillgruber
Christopher Hill (historian),1931,Freiburg,Christopher Hill (historian)
Gerhard Ritter,1938,Freiburg,Gerhard Ritter
Joachim Hoffmann,2002,Freiburg,Joachim Hoffmann
Conrad Cichorius,1895,Freiburg,Conrad Cichorius
Erwin Ackerknecht,1926,Freiburg,Erwin Ackerknecht
Hans-Joachim Gehrke,1987,Freiburg,Hans-Joachim Gehrke
Hermann Aubin,1910,Freiburg,Hermann Aubin
Hermann Aubin,1969,Freiburg,Hermann Aubin
Gustav Leopold Plitt,1836,Genin,Gustav Leopold Plitt
Gustav Leopold Plitt,1854,Berlin,Gustav Leopold Plitt
John Grenville,1928,Berlin,John Grenville
Werner Flume,1927,Berlin,Werner Flume
Werner Flume,1931,Berlin,Werner Flume
Werner Flume,1948,Berlin,Werner Flume
Georg Witkowski,1863,Berlin,Georg Witkowski
Martin Gumpert,1897,Berlin,Martin Gumpert
Friedrich Wilhelm Schirrmacher,1846,Berlin,Friedrich Wilhelm Schirrmacher
Friedrich Wilhelm Schirrmacher,1849,Berlin,Friedrich Wilhelm Schirrmacher
Hajo Holborn,1902,Berlin,Hajo Holborn
Walter Baetke,1908,Berlin,Walter Baetke
Hans Coppi Jr.,1984,Berlin,Hans Coppi Jr.
Hans Coppi Jr.,1990,Berlin,Hans Coppi Jr.
Hans Coppi Jr.,2003,Berlin,Hans Coppi Jr.
Eugen Täubler,1904,Berlin,Eugen Täubler
Eugen Täubler,1910,Berlin,Eugen Täubler
Peter Baumgart,1956,Berlin,Peter Baumgart
Martin Roth (museum director),2017,Berlin,Martin Roth (museum director)
Wilhelm Schneemelcher,1914,Berlin,Wilhelm Schneemelcher
Ute Frevert,2008,Berlin,Ute Frevert
Wilhelm Pauck,1921,Berlin,Wilhelm Pauck
Johannes Wallmann (theologian),1961,Berlin,Johannes Wallmann (theologian)
Siegfried Hirsch,1816,Berlin,Siegfried Hirsch
Siegfried Hirsch,1844,Berlin,Siegfried Hirsch
George Phillips (canon lawyer),1827,Berlin,George Phillips (canon lawyer)
George Phillips (canon lawyer),1825,Berlin,George Phillips (canon lawyer)
Peter Schöttler,2008,Berlin,Peter Schöttler
Hannah Vogt,1910,Berlin,Hannah Vogt
Philip Schaff,1841,Berlin,Philip Schaff
Johann Heinrich Gelzer,1844,Berlin,Johann Heinrich Gelzer
David Erdmann,1845,Berlin,David Erdmann
Erich Weise,1933,Berlin,Erich Weise
Johann Jakob Herzog,1830,Berlin,Johann Jakob Herzog
Karl Wilhelm Nitzsch,1862,Berlin,Karl Wilhelm Nitzsch
Gerhard A. Ritter,1947,Berlin,Gerhard A. Ritter
Gerhard A. Ritter,2015,Berlin,Gerhard A. Ritter
Philippe Burrin,2001,Berlin,Philippe Burrin
Dieter Timpe,1950,Berlin,Dieter Timpe
Henry Friedlander,1947,Berlin,Henry Friedlander
Emil Seckel,1920,Berlin,Emil Seckel
Erich Maschke,1900,Berlin,Erich Maschke
Nicolae Cartojan,1912,Berlin,Nicolae Cartojan
E. A. Thompson,1937,Berlin,E. A. Thompson
Günter Benser,1989,Berlin,Günter Benser
Günter Benser,1955,Berlin,Günter Benser
Elias Tcherikower,1920,Berlin,Elias Tcherikower
Elias Tcherikower,1925,Berlin,Elias Tcherikower
Leser Landshuth,1827,Berlin,Leser Landshuth
Selma Stern,1920,Berlin,Selma Stern
Erich Keyser,1940,Berlin,Erich Keyser
Ernst Walter Zeeden,1916,Berlin,Ernst Walter Zeeden
Felix Römer,2019,Berlin,Felix Römer
Francis Carsten,1911,Berlin,Francis Carsten
Fred K. Prieberg,1928,Berlin,Fred K. Prieberg
Herbert A. Strauss,1936,Berlin,Herbert A. Strauss
